GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1047808167	2021-12-09 10:41:42.875148	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Story Mill Community Park	L4686166	H	45.6976446	-111.0224290	2021-01-09	10:50:00	obsr45736	S78944183	Traveling	P22	EBIRD	70	1.609		2	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1053650254	2021-01-17 12:16:46.739868	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Blackbird FAS	L1420381	H	45.9008209	-111.5259745	2021-01-17	10:09:00	obsr687837	S79421649	Traveling	P22	EBIRD	5	0.274		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1053144446	2021-03-19 13:28:13.506205	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Blackbird FAS	L1420381	H	45.9008209	-111.5259745	2021-01-16	15:29:00	obsr428450	S79365381	Traveling	P22	EBIRD	38	0.241		2	1	G6193281	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1061297534	2021-01-28 17:45:46.464672	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Climate Watch, sq. #00652, 8/12	L13416674	P	45.5422490	-111.0262760	2021-01-27	12:32:00	obsr313730	S80041606	Stationary	P21	EBIRD	5			2	1		0	1	0		Climate Watch, USA-MT-00652, 8/12, target: WBNU, (no nest boxes/feeders present)		
URN:CornellLabOfOrnithology:EBIRD:OBS1061309338	2021-01-28 18:00:48.058314	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				3					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Climate Watch, sq. #00652, 12/12	L13416807	P	45.5180820	-111.0078440	2021-01-27	11:59:00	obsr313730	S80042333	Stationary	P21	EBIRD	5			2	1		0	1	0		Climate Watch, USA-MT-00652, 12/12, target: WBNU, (no nest boxes/feeders present)		
URN:CornellLabOfOrnithology:EBIRD:OBS1063134519	2021-01-31 11:37:01.13769	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Blackbird FAS	L1420381	H	45.9008209	-111.5259745	2021-01-31	09:30:00	obsr687837	S80191052	Stationary	P21	EBIRD	10			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1055818959	2021-03-26 04:34:36.641777	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Story Mill Community Park	L4686166	H	45.6976446	-111.0224290	2021-01-15	13:58:00	obsr535408	S79592601	Traveling	P22	EBIRD_PNW	54	1.790		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1059376894	2021-04-01 09:14:33.087115	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Story Mill Community Park	L4686166	H	45.6976446	-111.0224290	2021-01-25	09:33:00	obsr45736	S79886694	Traveling	P22	EBIRD	120	3.106		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1060483983	2021-03-26 04:34:36.641777	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Story Mill Community Park	L4686166	H	45.6976446	-111.0224290	2021-01-26	16:41:00	obsr201717	S79972544	Traveling	P22	EBIRD	36	1.577		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1054022936	2021-01-17 19:03:03.682878	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Hyalite Canyon Road, Bozeman, Montana, US (45.504, -110.988)	L13310560	P	45.5039601	-110.9881431	2021-01-17	12:47:00	obsr201717	S79455574	Traveling	P22	EBIRD	20	1.609		1	1		0	1	0				
